"filename", "language", "JSON", "SCSS", "TypeScript", "HTML", "XML", "Markdown", "JavaScript", "EditorConfig", "Log", "comment", "blank", "total"
"c:\Users\Marnus Coetzee\Desktop\Angular\officeapp\src\app\home\dialogs\edit-office-dialog\edit-office.component.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 5, 16
"c:\Users\Marnus Coetzee\Desktop\Angular\officeapp\src\app\home\home-routing.module.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\Marnus Coetzee\Desktop\Angular\officeapp\src\app\home\home.component.html", "HTML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\Marnus Coetzee\Desktop\Angular\officeapp\src\app\home\home.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Marnus Coetzee\Desktop\Angular\officeapp\src\app\home\home.component.spec.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 6, 26
"c:\Users\Marnus Coetzee\Desktop\Angular\officeapp\src\app\home\home.component.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 5, 16
"c:\Users\Marnus Coetzee\Desktop\Angular\officeapp\src\app\home\home.module.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 3, 23
"c:\Users\Marnus Coetzee\Desktop\Angular\officeapp\src\app\landing-page\auth\auth-directives\anon-signin.directive.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\Marnus Coetzee\Desktop\Angular\officeapp\src\app\landing-page\auth\auth-directives\google-signin.directive.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\Marnus Coetzee\Desktop\Angular\officeapp\src\app\landing-page\auth\auth.component.html", "HTML", 0, 0, 0, 102, 0, 0, 0, 0, 0, 0, 16, 118
"c:\Users\Marnus Coetzee\Desktop\Angular\officeapp\src\app\landing-page\auth\auth.component.scss", "SCSS", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 8, 49
"c:\Users\Marnus Coetzee\Desktop\Angular\officeapp\src\app\landing-page\auth\auth.component.spec.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 6, 26
"c:\Users\Marnus Coetzee\Desktop\Angular\officeapp\src\app\landing-page\auth\auth.component.ts", "TypeScript", 0, 0, 81, 0, 0, 0, 0, 0, 0, 9, 16, 106
"c:\Users\Marnus Coetzee\Desktop\Angular\officeapp\src\app\landing-page\landing-page-routing.module.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 4, 13
"c:\Users\Marnus Coetzee\Desktop\Angular\officeapp\src\app\landing-page\landing-page.component.html", "HTML", 0, 0, 0, 10, 0, 0, 0, 0, 0, 2, 2, 14
"c:\Users\Marnus Coetzee\Desktop\Angular\officeapp\src\app\landing-page\landing-page.component.scss", "SCSS", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\Marnus Coetzee\Desktop\Angular\officeapp\src\app\landing-page\landing-page.component.spec.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 6, 26
"c:\Users\Marnus Coetzee\Desktop\Angular\officeapp\src\app\landing-page\landing-page.component.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\Marnus Coetzee\Desktop\Angular\officeapp\src\app\landing-page\landing-page.module.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 3, 21
"c:\Users\Marnus Coetzee\Desktop\Angular\officeapp\src\app\model\datamodels.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 3, 23
"c:\Users\Marnus Coetzee\Desktop\Angular\officeapp\src\app\offices\offices-routing.module.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 4, 13
"c:\Users\Marnus Coetzee\Desktop\Angular\officeapp\src\app\offices\offices.component.html", "HTML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\Marnus Coetzee\Desktop\Angular\officeapp\src\app\offices\offices.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Marnus Coetzee\Desktop\Angular\officeapp\src\app\offices\offices.component.spec.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 6, 26
"c:\Users\Marnus Coetzee\Desktop\Angular\officeapp\src\app\offices\offices.component.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 5, 16
"c:\Users\Marnus Coetzee\Desktop\Angular\officeapp\src\app\offices\offices.module.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\Marnus Coetzee\Desktop\Angular\officeapp\src\app\offices\view-office\view-office.component.html", "HTML", 0, 0, 0, 19, 0, 0, 0, 0, 0, 2, 2, 23
"c:\Users\Marnus Coetzee\Desktop\Angular\officeapp\src\app\offices\view-office\view-office.component.scss", "SCSS", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 5, 32
"c:\Users\Marnus Coetzee\Desktop\Angular\officeapp\src\app\offices\view-office\view-office.component.spec.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 6, 26
"c:\Users\Marnus Coetzee\Desktop\Angular\officeapp\src\app\offices\view-office\view-office.component.ts", "TypeScript", 0, 0, 35, 0, 0, 0, 0, 0, 0, 1, 8, 44
"c:\Users\Marnus Coetzee\Desktop\Angular\officeapp\src\app\services\auth.service.spec.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 5, 17
"c:\Users\Marnus Coetzee\Desktop\Angular\officeapp\src\app\services\auth.service.ts", "TypeScript", 0, 0, 105, 0, 0, 0, 0, 0, 0, 13, 8, 126
"c:\Users\Marnus Coetzee\Desktop\Angular\officeapp\src\app\services\database.service.spec.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 5, 17
"c:\Users\Marnus Coetzee\Desktop\Angular\officeapp\src\app\services\database.service.ts", "TypeScript", 0, 0, 54, 0, 0, 0, 0, 0, 0, 30, 8, 92
"c:\Users\Marnus Coetzee\Desktop\Angular\officeapp\src\app\services\pwa.service.spec.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 5, 17
"c:\Users\Marnus Coetzee\Desktop\Angular\officeapp\src\app\services\pwa.service.ts", "TypeScript", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 3, 39
"c:\Users\Marnus Coetzee\Desktop\Angular\officeapp\src\app\shared\shared.module.ts", "TypeScript", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 5, 53
"c:\Users\Marnus Coetzee\Desktop\Angular\officeapp\src\app\shared\shell\directives\add-new-office.directive.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 4, 20
"c:\Users\Marnus Coetzee\Desktop\Angular\officeapp\src\app\shared\shell\directives\signout-button.directive.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\Marnus Coetzee\Desktop\Angular\officeapp\src\app\shared\shell\shell.component.html", "HTML", 0, 0, 0, 77, 0, 0, 0, 0, 0, 0, 4, 81
"c:\Users\Marnus Coetzee\Desktop\Angular\officeapp\src\app\shared\shell\shell.component.scss", "SCSS", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 10, 50
"c:\Users\Marnus Coetzee\Desktop\Angular\officeapp\src\app\shared\shell\shell.component.spec.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 6, 26
"c:\Users\Marnus Coetzee\Desktop\Angular\officeapp\src\app\shared\shell\shell.component.ts", "TypeScript", 0, 0, 23, 0, 0, 0, 0, 0, 0, 3, 3, 29
"c:\Users\Marnus Coetzee\Desktop\Angular\officeapp\src\app\shared\splash-screen\splash-screen.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Marnus Coetzee\Desktop\Angular\officeapp\src\app\shared\splash-screen\splash-screen.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Marnus Coetzee\Desktop\Angular\officeapp\src\app\shared\splash-screen\splash-screen.component.spec.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 6, 26
"c:\Users\Marnus Coetzee\Desktop\Angular\officeapp\src\app\shared\splash-screen\splash-screen.component.ts", "TypeScript", 0, 0, 70, 0, 0, 0, 0, 0, 0, 1, 3, 74
"c:\Users\Marnus Coetzee\Desktop\Angular\officeapp\src\assets\google-logo.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Marnus Coetzee\Desktop\Angular\officeapp\src\environments\environment.prod.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\Marnus Coetzee\Desktop\Angular\officeapp\src\environments\environment.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 11, 3, 27
"c:\Users\Marnus Coetzee\Desktop\Angular\officeapp\src\index.html", "HTML", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 1, 19
"c:\Users\Marnus Coetzee\Desktop\Angular\officeapp\src\main.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 4, 13
"c:\Users\Marnus Coetzee\Desktop\Angular\officeapp\src\manifest.webmanifest", "JSON", 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 60
"c:\Users\Marnus Coetzee\Desktop\Angular\officeapp\src\polyfills.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 55, 8, 64
"c:\Users\Marnus Coetzee\Desktop\Angular\officeapp\src\styles.scss", "SCSS", 0, 12, 0, 0, 0, 0, 0, 0, 0, 1, 2, 15
"c:\Users\Marnus Coetzee\Desktop\Angular\officeapp\src\test.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 4, 4, 26
"c:\Users\Marnus Coetzee\Desktop\Angular\officeapp\tsconfig.app.json", "JSON", 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 16
"c:\Users\Marnus Coetzee\Desktop\Angular\officeapp\tsconfig.base.json", "JSON", 19, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 21
"c:\Users\Marnus Coetzee\Desktop\Angular\officeapp\tsconfig.json", "JSON", 11, 0, 0, 0, 0, 0, 0, 0, 0, 6, 1, 18
"c:\Users\Marnus Coetzee\Desktop\Angular\officeapp\tsconfig.spec.json", "JSON", 17, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 19
"c:\Users\Marnus Coetzee\Desktop\Angular\officeapp\tslint.json", "JSON", 152, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 152
"Total", "-", 18602, 218, 1222, 362, 1, 14, 57, 12, 1, 205, 369, 21063
